121.36,91.144,142.5,138.4,584.38,351.46,332.59,527.03,356.24,306.03,46.138,48.691,230.68,186.69,145.33,122.02,572.12,414.86
111.37,79.391,120.43,112.31,556.78,314.19,284.69,499.59,304.91,256.33,37.165,38.895,184.48,145.19,123.94,98.474,547.7,389.59
0.27914,0.62805,0.069784,0.069784,0.13957,0.20935,0.20935,6.7662,0,0,0,0,2.7216,1.8144,0.069784,0.13957,0.13957,0.34892
0,0,0.23256,0,0.15504,2.6357,0.77519,1.8574,4.2636,2.5581,0.3876,0.3876,2.0155,0.93023,0,0,2.6357,0.46512
17.948,18.395,19.879,32.538,15.757,0.01,0.01,2.5599,0.02,0,0,0.01,4.9593,5.3183,5.4598,5.9373,0,112.33
19.609,18.007,23.419,34.969,19.178,0.04,0.01,2.9583,0.02,0.01,0.02,0,6.0382,6.2988,5.8699,6.5182,0,115.27
20.048,19.826,21.319,34.15,17.117,0,0.02,3.3289,0,0,0.01,0,5.3598,5.5888,5.1499,6.0186,0.02,113.5
19.099,19.436,22.998,35.911,18.378,0,0.02,3.1879,0.01,0.03,0,0,5.7493,6.2084,6.0198,6.3381,0.02,113.55
19.518,19.533,21.148,34.652,18.246,0.03,0.03,2.9793,0.04,0.01,0,0.01,5.3298,6.4386,5.8398,7.4078,0.02,115.16
18.518,19.515,22.038,34.069,17.136,0.03,0,2.8371,0,0,0,0.03,5.1196,5.5066,4.9198,6.4487,0,113.33
20.629,19.215,23.359,36.66,18.987,0,0.02,3.6574,0.01,0.03,0,0,6.0984,6.1893,5.92,6.4186,0,112.86
21.028,19.975,23.339,36.849,16.736,0.04,0.03,2.7283,0.03,0.01,0,0.01,5.7194,5.9281,5.5597,7.348,0.03,117.89
20.219,18.806,22.677,35.541,16.889,0.03,0.01,2.929,0.02,0.01,0,0,5.1878,5.3196,4.9999,6.5387,0,115.72
0,0.065703,0,0,0,1.9001,0.65703,1.8896,3.0158,2.6124,0.45992,0.39422,0.98555,0.59133,0,0,4.5335,0.32852
4.1367,2.3381,0,0,13.399,0,0,0.6295,0,0,0,0,0.17986,0,4.1322,2.9676,0,2.518
0.15244,0,0.3811,0.3811,0,3.0488,2.6608,2.3628,4.8018,3.5793,0.45503,1.141,2.439,2.2866,0.070122,0.076219,6.3925,0.30488
0.46083,0.30722,0.066052,0.23042,0,0.076805,0.38172,5.9839,0,0,0,0,0.68971,0.99846,0.076805,0,0,0.61444
0,0,0,0.072359,0.14472,1.9537,1.013,1.2221,1.6643,1.809,0.35745,0.28943,1.1577,0.79595,0,0,2.3878,0.14472
0.34217,0,0,0,0,0.085543,0.25663,7.0145,0,0,0,0,3.4961,2.6518,0.51326,0.25663,0.17109,0.34217
0.57236,0.40883,0,0.12265,0,0.12265,0.2453,7.018,0,0,0,0,2.9027,2.7801,0.20442,0.12265,0.040883,0.40883
0.66465,0.36254,0.30212,0.36254,0,0.12085,0.12085,5.5589,0,0,0,0,1.7523,2.4127,0.30212,0.060423,0.12085,0.060423
